CASE NUMBER,CRIME TYPE,INCIDENT DATE,STATUS,STREET,CITY,STATE
147A05135,SHOOTING,13-JAN-14,CAPTURED,3418 BELAIR RD,BALTIMORE,MD
136A03705,CARJACKING,10-JAN-14,CAPTURED,600 WASHINGTON BLVD,BALTIMORE,MD
144A03583,UNARMED ROBBERY,09-JAN-14,CAPTURED,1803 N. WARWICK,BALTIMORE,MD
144A03580,ARMED ROBBERY,09-JAN-14,CAPTURED, 2929 EDISON HWY,BALTIMORE,MD
149A03072,ARMED ROBBERY,08-JAN-14,CAPTURED,2618 OR 2620 HURON ST,BALTIMORE,MD
145A03016,ARMED ROBBERY,08-JAN-14,CAPTURED,5506 MIDWOOD AVENUE,BALTIMORE,MD
146A02693,SHOOTING,08-JAN-14,CAPTURED,1116 N. MONROE,BALTIMORE,MD
146A02693,SHOOTING,08-JAN-14,CAPTURED,2222 GOUGH ST.,BALTIMORE,MD
145A02198,HOMICIDE,06-JAN-14,CAPTURED,4000 GREENSPRING AVE,BALTIMORE,MD
146A02122,HOMICIDE,06-JAN-14,CAPTURED,5200 WABASH,BALTIMORE,MD
146A02122,HOMICIDE,06-JAN-14,CAPTURED,10620 KIMBERLY ANN CT.,BALTIMORE,MD
144A01872,ARMED ROBBERY,05-JAN-14,CAPTURED,4622 REISTERSTOWN RD,BALTIMORE,MD
144A01833,ARMED ROBBERY,05-JAN-14,CAPTURED,1620 EDISON HWY,BALTIMORE,MD
148A01746,SHOOTING,05-JAN-14,CAPTURED,619 N. AUGUSTA AVE,BALTIMORE,MD
144A00773,HOMICIDE,02-JAN-14,CAPTURED,6661 BEL AIR RD.,BALTIMORE,MD
142A00261,RAPE,01-JAN-14,CAPTURED,2414 W. BALTIMORE ST,BALTIMORE,MD
135L12649,AGGRAVATED ASSAULT,31-DEC-13,CAPTURED,201 S. CHARLES ST,BALTIMORE,MD
135L12888,ARMED ROBBERY,31-DEC-13,CAPTURED,1535 WOODYEAR,BALTIMORE,MD
137L12484,SHOOTING,30-DEC-13,CAPTURED,3400 E. MONUMENT ST,BALTIMORE,MD
134L12055,ARMED ROBBERY,29-DEC-13,CAPTURED,11650 CROSSROADS CIRCLE,BALTIMORE,MD
132L11956,SHOOTING,29-DEC-13,CAPTURED,200 N. BETHEL ST.,BALTIMORE,MD
139L11303,AGGRAVATED ASSAULT,27-DEC-13,CAPTURED,1251 LIGHT STREET,BALTIMORE,MD
134L10741,SHOOTING,26-DEC-13,CAPTURED,1923 N. FOREST PARK AVE,BALTIMORE,MD
132L10737,UNARMED ROBBERY,26-DEC-13,CAPTURED,7846 EASTERN AVENUE,BALTIMORE,MD
138L10539,AGGRAVATED ASSAULT,25-DEC-13,CAPTURED,401 W. MULBERRY STREET,BALTIMORE,MD
138L10078,BURGLARY,24-DEC-13,CAPTURED,1100 FREDRICK RD,BALTIMORE,MD
136L08670,SHOOTING,21-DEC-13,CAPTURED,1120 COOKS LANE,BALTIMORE,MD
136L07634,ARMED ROBBERY,18-DEC-13,CAPTURED,3103 CHELSEA TERRACE,BALTIMORE,MD
135L07603,HOMICIDE,18-DEC-13,CAPTURED,728 E. 21ST. ST.,BALTIMORE,MD
131L07598,AGGRAVATED ASSAULT,18-DEC-13,CAPTURED,6811 STURBRIDGE DR APT B,BALTIMORE,MD
132L06276,HOMICIDE,15-DEC-13,CAPTURED,700 WASHINGTON BLVD.,BALTIMORE,MD
135L05954,ARMED ROBBERY,14-DEC-13,CAPTURED,2810 GUILFORD AVENUE APT 2,BALTIMORE,MD
137L05940,ARMED ROBBERY,14-DEC-13,CAPTURED,2216 BOOTH ST,BALTIMORE,MD
136L11800,SHOOTING,13-DEC-13,CAPTURED,2430 ASHLAND AVENUE,BALTIMORE,MD
136L03377,OTHER,12-DEC-13,CAPTURED,3615 LIBERTY HEIGHTS AVE,BALTIMORE,MD
134E08248,DOMESTIC VIOLENCE,11-DEC-13,CAPTURED,2700 N CHARLES STREET,BALTIMORE,MD
132L04160,SHOOTING,10-DEC-13,CAPTURED,302 W. MAIN ST,BALTIMORE,MD
134L03933,ARMED ROBBERY,09-DEC-13,CAPTURED,2929 EDISON HWY,BALTIMORE,MD
139L03969,HOME INVASION,09-DEC-13,CAPTURED,1010 SHELLBANKS RD APT A3,BALTIMORE,MD
133L03773,ARMED ROBBERY,09-DEC-13,CAPTURED,5914 GLENOAK,BALTIMORE,MD
139L03602,ARMED ROBBERY,08-DEC-13,CAPTURED,150 W. HAMBURG ST,BALTIMORE,MD
136L03497,ARMED ROBBERY,08-DEC-13,CAPTURED,1518 N. PAYSON ST,BALTIMORE,MD
136L02329,ARMED ROBBERY,05-DEC-13,CAPTURED,3916 WALBASH AVE APT. 2A,BALTIMORE,MD
136L02329,ARMED ROBBERY,05-DEC-13,CAPTURED, 2202 WHITTIER AVE APT # 1,BALTIMORE,MD
138L01811,SHOOTING,04-DEC-13,CAPTURED,2956 PRESSTMAN ST,BALTIMORE,MD
136L01256,ARMED ROBBERY,03-DEC-13,CAPTURED,2334 MONDAWIN,BALTIMORE,MD
139K13336,HOMICIDE,30-NOV-13,CAPTURED,1800 RIGGS STREET,BALTIMORE,MD
132K11258,ARMED ROBBERY,25-NOV-13,CAPTURED,3608 E. LOMBARD ST,BALTIMORE,MD
132K11219,UNARMED ROBBERY,25-NOV-13,CAPTURED,6444 O'DONNELL ST,BALTIMORE,MD
134K10480,ARMED ROBBERY,23-NOV-13,CAPTURED,518 E. 43RD STREET,BALTIMORE,MD
134K10780,ARMED ROBBERY,23-NOV-13,CAPTURED,4700 SCHLEY RD,BALTIMORE,MD
134K10480,ARMED ROBBERY,23-NOV-13,CAPTURED,926 ARGONNE DRIVE,BALTIMORE,MD
137K10250,ARMED ROBBERY,22-NOV-13,CAPTURED,2021 N WOLFE ST,BALTIMORE,MD
134H14375,SHOOTING,20-NOV-13,CAPTURED,5407 BIDDISON AVE,BALTIMORE,MD
134K08442,ARMED ROBBERY,18-NOV-13,CAPTURED,4101 YORK YD,BALTIMORE,MD
132K07178,HOMICIDE,16-NOV-13,CAPTURED,1203 COMET MEWS CT,BALTIMORE,MD
133K02927,OTHER,13-NOV-13,CAPTURED,100 E. 26TH ST.,BALTIMORE,MD
137K05622,UNARMED ROBBERY,12-NOV-13,CAPTURED,2924 EDMONSON AVE,BALTIMORE,MD
139K00615,OTHER,10-NOV-13,CAPTURED,1216 N. CALHOUN ST,BALTIMORE,MD
138K04217,ARMED ROBBERY,09-NOV-13,CAPTURED,610 CARRWAY,BALTIMORE,MD
139K04138,UNARMED ROBBERY,09-NOV-13,CAPTURED,4100 MARRIDAN,BALTIMORE,MD
135I12145,AGGRAVATED ASSAULT,07-NOV-13,CAPTURED, 001 CUSTOM HOUSE,BALTIMORE,MD
134K02311,UNARMED ROBBERY,05-NOV-13,CAPTURED,1411 NORTHGATE DR,BALTIMORE,MD
136K00974,UNARMED ROBBERY,02-NOV-13,CAPTURED, 300 N. FRANKLINTOWN,BALTIMORE,MD
138K00814,SHOOTING,02-NOV-13,CAPTURED,3508 WILKINS AVE,BALTIMORE,MD
138K00050,CARJACKING,31-OCT-13,CAPTURED, 2900 W. BALTIMORE ST,BALTIMORE,MD
136J15004,ARMED ROBBERY,31-OCT-13,CAPTURED, 2417 BARCLAY STREET,BALTIMORE,MD
133J14977,SHOOTING,31-OCT-13,CAPTURED, 2222 BARCLAY STREET,BALTIMORE,MD
138J14871,ARMED ROBBERY,31-OCT-13,CAPTURED,5303 YORK ROAD,BALTIMORE,MD
136J14809,UNARMED ROBBERY,29-OCT-13,CAPTURED,4108 FORDS LN,BALTIMORE,MD
123B05976,BURGLARY,29-OCT-13,CAPTURED,2405 GAINBOROUGH DR,BALTIMORE,MD
139J14025,UNARMED ROBBERY,29-OCT-13,CAPTURED,2805 WINWARD CT.,BALTIMORE,MD
138J13600,AGGRAVATED ASSAULT,29-OCT-13,CAPTURED,2828 PRESBURY,BALTIMORE,MD
131J13346,UNARMED ROBBERY,28-OCT-13,CAPTURED,1111 TIFFANY COURT,BALTIMORE,MD
136J13317,UNARMED ROBBERY,28-OCT-13,CAPTURED,1825 BAKER ST.,BALTIMORE,MD
137J12120,HOMICIDE,25-OCT-13,CAPTURED,3512 MILLFORD MILL RD.,BALTIMORE,MD
133J11863,OTHER,25-OCT-13,CAPTURED,7919 MONTROSE AVE.,BALTIMORE,MD
134C13632,HOMICIDE,25-OCT-13,CAPTURED,1600 E COLD SPRING LANE,BALTIMORE,MD
138J11772,UNARMED ROBBERY,25-OCT-13,CAPTURED,4805 WILLISTON AVE,BALTIMORE,MD
133J10445,HOMICIDE,22-OCT-13,CAPTURED,3916 CROSS COUNTRY BLVD,BALTIMORE,MD
133J10445,HOMICIDE,22-OCT-13,CAPTURED, 1115 ABBOTT COURT,BALTIMORE,MD
123J09403,HOMICIDE,20-OCT-13,CAPTURED,821 N BELNORD AVE,BALTIMORE,MD
138J09232,HOMICIDE,20-OCT-13,CAPTURED,1000 GREENMOUNT AVE,BALTIMORE,MD
133J09370,ARMED ROBBERY,20-OCT-13,CAPTURED,2409 BRIDGEHAMPTON RD,BALTIMORE,MD
131J08420,ARMED ROBBERY,18-OCT-13,CAPTURED,2005 ETTING ST.,BALTIMORE,MD
134J07789,ARMED ROBBERY,16-OCT-13,CAPTURED,7041 MCCLEAN BLVD,BALTIMORE,MD
131J07683,ARMED ROBBERY,16-OCT-13,CAPTURED,707 EDMONDSON,BALTIMORE,MD
133J06667,HOMICIDE,14-OCT-13,CAPTURED, 2415 GREENMOUNT AVE,BALTIMORE,MD
135J05288,OTHER,11-OCT-13,CAPTURED,5508 PLAINFIELD,BALTIMORE,MD
138J04892,ARMED ROBBERY,10-OCT-13,CAPTURED,2203 TUCKER,BALTIMORE,MD
137J04759,CARJACKING,10-OCT-13,CAPTURED,3315 GARRISON AVE.,BALTIMORE,MD
134H12781,OTHER,08-OCT-13,CAPTURED,2408 E. OLIVER STREET,BALTIMORE,MD
139J02587,ARMED ROBBERY,05-OCT-13,CAPTURED,1527 E. 33RD ST.,BALTIMORE,MD
139J01653,BURGLARY,03-OCT-13,CAPTURED,1737 E. 25TH STREET,BALTIMORE,MD
134J00903,ARMED ROBBERY,02-OCT-13,CAPTURED, 3427 KENYON AVE,BALTIMORE,MD
139J00530,ARMED ROBBERY,01-OCT-13,CAPTURED,242 W. 29TH ST.,BALTIMORE,MD
131J00461,ARMED ROBBERY,01-OCT-13,CAPTURED, 200 W. SARATOGA STREET,BALTIMORE,MD
134I11449,HOMICIDE,30-SEP-13,CAPTURED, 1511 TUNLAW,BALTIMORE,MD
134I13902,CHILD ABUSE,29-SEP-13,CAPTURED, 108 ACADEMY STREET,BALTIMORE,MD
134I13902,CHILD ABUSE,29-SEP-13,CAPTURED,8110 MILLFORD GARDEN DR.,BALTIMORE,MD
132I12311,AGGRAVATED ASSAULT,26-SEP-13,CAPTURED,5405 RIVERDALE RD APT M5,BALTIMORE,MD
132I11897,ARMED ROBBERY,25-SEP-13,CAPTURED,2809 CARROLL WIND DRIVE,BALTIMORE,MD
134I11730,HOMICIDE,24-SEP-13,CAPTURED, 648 S. CURLEY STREET,BALTIMORE,MD
134I11649,UNARMED ROBBERY,24-SEP-13,CAPTURED,4929 LASALLE,BALTIMORE,MD
134I11449,HOMICIDE,24-SEP-13,CAPTURED,2736 HUGO,BALTIMORE,MD
138I11198,ARMED ROBBERY,23-SEP-13,CAPTURED, 3316 GWYNNS FALLS PRKWY,BALTIMORE,MD
131I11346,ARMED ROBBERY,23-SEP-13,CAPTURED, 3101 W. NORTH AVE,BALTIMORE,MD
137I10437,HOME INVASION,22-SEP-13,CAPTURED, 2400 REISTERSTOWN ROAD,BALTIMORE,MD
138I10561,MISSING PERSON,21-SEP-13,CAPTURED,4216 SHELDON AVE,BALTIMORE,MD
136I09811,ARMED ROBBERY,20-SEP-13,CAPTURED, 4201 PARK HEIGHTS AVE APT. D,BALTIMORE,MD
137I09158,ARMED ROBBERY,19-SEP-13,CAPTURED, 2043 ANNAPOLIS ROAD,BALTIMORE,MD
137I00880,OTHER,19-SEP-13,CAPTURED,336 S. SPRING CT.,BALTIMORE,MD
137I08848,ARMED ROBBERY,18-SEP-13,CAPTURED,1915 W NORTH AVE 2ND FLOOR,BALTIMORE,MD
139I08555,MISSING PERSON,18-SEP-13,CAPTURED,5601 BRANCH AVE,BALTIMORE,MD
133I08187,UNARMED ROBBERY,17-SEP-13,CAPTURED,2401 CHARLES,BALTIMORE,MD
134D07784,BURGLARY,17-SEP-13,CAPTURED,700 FALLSWAY,BALTIMORE,MD
134I07661,UNARMED ROBBERY,16-SEP-13,CAPTURED,444 OLD HOME RD,BALTIMORE,MD
131I07465,DOMESTIC VIOLENCE,16-SEP-13,CAPTURED,2810 ROUND RD,BALTIMORE,MD
135I07003,UNARMED ROBBERY,15-SEP-13,CAPTURED,3715 WILKINS AVE,BALTIMORE,MD
142H06216,ARMED ROBBERY,14-SEP-13,CAPTURED,367 MARYDELL AVE,BALTIMORE,MD
135I06692,AGGRAVATED ASSAULT,14-SEP-13,CAPTURED,249 56TH PLACE NE,WASHINGTON,DC
135I06409,ABDUCTION,13-SEP-13,CAPTURED,6410 SECURITY BLVD,BALTIMORE,MD
139I05937,OTHER,12-SEP-13,CAPTURED,1900 W. LANVALE,BALTIMORE,MD
139I05937,AGGRAVATED ASSAULT,12-SEP-13,CAPTURED, 1213 N. SPRING STREET,BALTIMORE,MD
139I05937,AGGRAVATED ASSAULT,12-SEP-13,CAPTURED, 2906 COPORE WAY,BALTIMORE,MD
139I05937,AGGRAVATED ASSAULT,12-SEP-13,CAPTURED,5400 JONQUIL,BALTIMORE,MD
138I04836,HOMICIDE,10-SEP-13,CAPTURED,140 PALMORO,BALTIMORE,MD
138I04806,SHOOTING,10-SEP-13,CAPTURED, 610 N. MONTFORD AVE,BALTIMORE,MD
137I04714,AGGRAVATED ASSAULT,10-SEP-13,CAPTURED,506 W LAFAYETTE,BALTIMORE,MD
136I04063,OTHER,09-SEP-13,CAPTURED,7000 LIBERTY RD,BALTIMORE,MD
136I03701,HOMICIDE,08-SEP-13,CAPTURED, 1128 WEBB CT.,BALTIMORE,MD
134I03534,SHOOTING,08-SEP-13,CAPTURED,1500 KINGSWAY,BALTIMORE,MD
133I03485,HOMICIDE,08-SEP-13,CAPTURED,1005 ABBOTT CT,BALTIMORE,MD
131I02628,UNARMED ROBBERY,06-SEP-13,CAPTURED,706 LINNARD,BALTIMORE,MD
135I01000,HOMICIDE,03-SEP-13,CAPTURED,1100 E. NORTHERN PKWY,BALTIMORE,MD
134I00914,UNARMED ROBBERY,02-SEP-13,CAPTURED,903 N. LAKEWOOD,BALTIMORE,MD
138I00021,ARMED ROBBERY,01-SEP-13,CAPTURED,2200 WESTBURY,BALTIMORE,MD
134H15439,ARMED ROBBERY,31-AUG-13,CAPTURED,5831 BELAIR RD,BALTIMORE,MD
133H12021,AGGRAVATED ASSAULT,31-AUG-13,CAPTURED,1213 N. EDEN,BALTIMORE,MD
133H15021,SHOOTING,31-AUG-13,CAPTURED,6101 MORAVIA PARK DR,BALTIMORE,MD
137H14403,HOMICIDE,29-AUG-13,CAPTURED,1931 W. PRATT ST,BALTIMORE,MD
135H14406,MISSING PERSON,29-AUG-13,CAPTURED,2119 BOLTON ST,BALTIMORE,MD
134H13673,AGGRAVATED ASSAULT,28-AUG-13,CAPTURED,4203 GLENARM,BALTIMORE,MD
132H13592,AGGRAVATED ASSAULT,28-AUG-13,CAPTURED,635 N. BENTALOU ST.,BALTIMORE,MD
136H13426,ARMED ROBBERY,27-AUG-13,CAPTURED,3403 GWYNNS FALLS RD.,BALTIMORE,MD
135H12937,SHOOTING,27-AUG-13,CAPTURED, 3713 GREENMOUNT AVENUE,BALTIMORE,MD
132H12424,UNARMED ROBBERY,25-AUG-13,CAPTURED,1100 E. FAYETTE ST,BALTIMORE,MD
135H11578,ARMED ROBBERY,23-AUG-13,CAPTURED,2732 MURA ST,BALTIMORE,MD
136H11472,UNARMED ROBBERY,23-AUG-13,CAPTURED,4201 PRIMROSE ROOM 227,BALTIMORE,MD
137H11361,UNARMED ROBBERY,23-AUG-13,CAPTURED,1031 SEARAY COURT,EDGEWOOD,MD
137H11113,UNARMED ROBBERY,22-AUG-13,CAPTURED,2300 LAURETTA AVE,BALTIMORE,MD
137H10616,UNARMED ROBBERY,22-AUG-13,CAPTURED,1647 MCKEAN ST,BALTIMORE,MD
134H10389,SHOOTING,21-AUG-13,CAPTURED,2703 MATTHEWS ST,BALTIMORE,MD
131H10208,ARMED ROBBERY,21-AUG-13,CAPTURED,4 S GILMORE STREET,BALTIMORE,MD
133H09704,AGGRAVATED ASSAULT,20-AUG-13,CAPTURED,4340 CLAIRE WAY APT 206,BALTIMORE,MD
136G09407,CHILD ABUSE,19-AUG-13,CAPTURED, 2212 EASGLE STREET,BALTIMORE,MD
136H09124,ARMED ROBBERY,19-AUG-13,CAPTURED,1001 EASTERN AVENUE,BALTIMORE,MD
131H08905,AGGRAVATED ASSAULT,18-AUG-13,CAPTURED,2601 MADISON APT 1103,BALTIMORE,MD
132H08441,UNARMED ROBBERY,16-AUG-13,CAPTURED,2500 E. MADISON AVE.,BALTIMORE,MD
137H07710,CARJACKING,16-AUG-13,CAPTURED,1708 N. MONROE ST,BALTIMORE,MD
139H07113,SEX OFFENSE,15-AUG-13,CAPTURED,200 N. FRANKLIN,BALTIMORE,MD
134H06548,ARMED ROBBERY,14-AUG-13,CAPTURED,7839 EASTPOINT MALL,BALTIMORE,MD
135H06515,SHOOTING,14-AUG-13,CAPTURED,1424 UNION AVE APT C,BALTIMORE,MD
136H06459,UNARMED ROBBERY,13-AUG-13,CAPTURED,4700 GREENSPRING AVE APT T3,BALTIMORE,MD
132H06454,ARMED ROBBERY,13-AUG-13,CAPTURED,6901 SECURITY BLVD,BALTIMORE,MD
138H06407,ARMED ROBBERY,13-AUG-13,CAPTURED,6901 SECURITY BLVD,BALTIMORE,MD
123C15019,HOMICIDE,12-AUG-13,CAPTURED, 2525 ST. PAUL,BALTIMORE,MD
135H05379,DOMESTIC VIOLENCE,11-AUG-13,CAPTURED,806 MEWS LANE,FREDERICK,MD
139H04769,AGGRAVATED ASSAULT,10-AUG-13,CAPTURED,7908 ROSSVILLE BLVD,BALTIMORE,MD
135H03611,ARMED ROBBERY,08-AUG-13,CAPTURED,3828 BONVIEW AVENUE,BALTIMORE,MD
134H03439,UNARMED ROBBERY,07-AUG-13,CAPTURED, 1801 E. 30TH,BALTIMORE,MD
131H01922,OTHER,07-AUG-13,CAPTURED, 5809 WINNER AVE,BALTIMORE,MD
135H00606,ARMED ROBBERY,02-AUG-13,CAPTURED,313 E 23RD STREET,BALTIMORE,MD
134H00527,ARMED ROBBERY,01-AUG-13,CAPTURED,3700 E. LOMBARD ST.,BALTIMORE,MD
149H03400,RAPE,01-AUG-13,CAPTURED,426 CHARTLEY PARK DRIVE,BALTIMORE,MD
139H00160,ARMED ROBBERY,01-AUG-13,CAPTURED, 6002 AMBERWOOD,BALTIMORE,MD
138H00051,ARMED ROBBERY,01-AUG-13,CAPTURED,2711 CYLBURN AVE,BALTIMORE,MD
134G12773,UNARMED ROBBERY,31-JUL-13,CAPTURED, 3433 REISTERSTOWN ROAD,BALTIMORE,MD
133G12228,UNARMED ROBBERY,31-JUL-13,CAPTURED,3701 GREENMOUNT AVE,BALTIMORE,MD
135G11391,SHOOTING,26-JUL-13,CAPTURED,2562 ARUNAH,BALTIMORE,MD
136F12831,OTHER,26-JUL-13,CAPTURED,4383 CRAIN HWY,BALTIMORE,MD
132G12318,ARMED ROBBERY,26-JUL-13,CAPTURED,3210 HOLLINS FERRY RD,BALTIMORE,MD
132G11821,ARMED ROBBERY,25-JUL-13,CAPTURED, 2518 AISQUITH STREET,BALTIMORE,MD
134R11887,UNARMED ROBBERY,24-JUL-13,CAPTURED,5800 THE ALAMEDA,BALTIMORE,MD
134G12242,UNARMED ROBBERY,24-JUL-13,CAPTURED, 3218 ELMLEY AVE,BALTIMORE,MD
139G11765,OTHER,24-JUL-13,CAPTURED, 2948 SIWANOY RD.,EDGEWOOD,MD
134G11123,AGGRAVATED ASSAULT,23-JUL-13,CAPTURED,2000 ECHODALE AVE,BALTIMORE,MD
131G11093,UNARMED ROBBERY,23-JUL-13,CAPTURED, 612 N. CLINTON STREET,BALTIMORE,MD
136G10599,ARMED ROBBERY,22-JUL-13,CAPTURED,3914 PINKNEY,BALTIMORE,MD
131G10508,ARMED ROBBERY,22-JUL-13,CAPTURED,400 W. SARATOGA,BALTIMORE,MD
137G10379,SHOOTING,22-JUL-13,CAPTURED,2111 W. BALTIMORE,BALTIMORE,MD
134G12282,DOMESTIC VIOLENCE,22-JUL-13,CAPTURED, 4322 BELAIR ROAD,BALTIMORE,MD
133G11072,RAPE,21-JUL-13,CAPTURED,5721 ONNEN RD,BALTIMORE,MD
132G09711,UNARMED ROBBERY,21-JUL-13,CAPTURED,1000 S. ROBINSON ST,BALTIMORE,MD
132G09733,UNARMED ROBBERY,21-JUL-13,CAPTURED,1000 S. ROBINSON ST,BALTIMORE,MD
131G08951,ARMED ROBBERY,19-JUL-13,CAPTURED,2400 WOODBROOK AVE,BALTIMORE,MD
137G08675,CARJACKING,18-JUL-13,CAPTURED,1300 W. MOSHER ST,BALTIMORE,MD
134G08335,SEX OFFENSE,18-JUL-13,CAPTURED,"1428 DARTMOUTH AVE, 2ND FLOOR",BALTIMORE,MD
138G08212,ARMED ROBBERY,18-JUL-13,CAPTURED, 100 ST. PAUL,BALTIMORE,MD
137G07607,HOMICIDE,16-JUL-13,CAPTURED,1111 MCKEAN,BALTIMORE,MD
137G07380,SHOOTING,16-JUL-13,CAPTURED,3500 WOODBROOK,BALTIMORE,MD
137G07337,AGGRAVATED ASSAULT,16-JUL-13,CAPTURED, 1207 N. DUKELAND STREET,BALTIMORE,MD
134G07327,UNARMED ROBBERY,16-JUL-13,CAPTURED,2210 WESTFIELD RD,BALTIMORE,MD
134G07189,UNARMED ROBBERY,15-JUL-13,CAPTURED,90 SOLAR CIRCLE,BALTIMORE,MD
132G06365,HOMICIDE,13-JUL-13,CAPTURED,2871 EDGECOMBE CIRCLE NORTH APT. A,BALTIMORE,MD
132G06365,HOMICIDE,13-JUL-13,CAPTURED,7922 LANSDALE RD,BALTIMORE,MD
132G06365,HOMICIDE,13-JUL-13,CAPTURED,3004 BELMONT,BALTIMORE,MD
139G06371,UNARMED ROBBERY,13-JUL-13,CAPTURED,200 E. PRATT ST.,BALTIMORE,MD
138G05486,ARSON,12-JUL-13,CAPTURED, 1706 MONTEREY,BALTIMORE,MD
135G04849,UNARMED ROBBERY,10-JUL-13,CAPTURED,801 BRADHURST,BALTIMORE,MD
137F07126,OTHER,10-JUL-13,CAPTURED,11239 PEAR TREE WAY,BALTIMORE,MD
137G04538,HOMICIDE,10-JUL-13,CAPTURED,1800 W. FAIRMOUNT,BALTIMORE,MD
133G03429,OTHER,07-JUL-13,CAPTURED,1225 E. FEDERAL ST,BALTIMORE,MD
138G03109,ARMED ROBBERY,07-JUL-13,CAPTURED,4600 EDMONDSON AVE,BALTIMORE,MD
137G02904,SHOOTING,06-JUL-13,CAPTURED,1910 HERBERT ST,BALTIMORE,MD
136G01999,SHOOTING,04-JUL-13,CAPTURED,3112 GARRISON,BALTIMORE,MD
135G01910,AGGRAVATED ASSAULT,04-JUL-13,CAPTURED,1025 CARROLLTON,BALTIMORE,MD
132G01811,UNARMED ROBBERY,04-JUL-13,CAPTURED,209 N. LAKEWOOD AVE,BALTIMORE,MD
137G01775,UNARMED ROBBERY,04-JUL-13,CAPTURED,1269 HARBOR ISLAND TERR.,BALTIMORE,MD
131G01375,ARMED ROBBERY,03-JUL-13,CAPTURED,2803 HARLEM AVE,BALTIMORE,MD
138G00691,ARMED ROBBERY,02-JUL-13,CAPTURED,3915 BARRINGTON RD APT 3,BALTIMORE,MD
138G00691,ARMED ROBBERY,02-JUL-13,CAPTURED,3915 BARRINGTON RD,BALTIMORE,MD
136G00084,BURGLARY,30-JUN-13,CAPTURED,1533 DRUID HILL AVE APT A,BALTIMORE,MD
131F14254,UNARMED ROBBERY,29-JUN-13,CAPTURED, 1923 N. FOREST PARK AVE,BALTIMORE,MD
138H08000,OTHER,29-JUN-13,CAPTURED,1600  EUTAW ST.,BALTIMORE,MD
137F13403,HOMICIDE,28-JUN-13,CAPTURED,1313 HARLEM AVE,BALTIMORE,MD
134F13256,HOMICIDE,27-JUN-13,CAPTURED, 3005 FAIRHILL COURT,SUITLAND,MD
133F13017,UNARMED ROBBERY,27-JUN-13,CAPTURED,1663 CLIFTVIEW AVE,BALTIMORE,MD
134F12128,ARSON,25-JUN-13,CAPTURED,200 W. SARATOGA ST.,BALTIMORE,MD
136F12173,HOMICIDE,25-JUN-13,CAPTURED,2402 EDMONDSON AVE,BALTIMORE,MD
137F11150,HOMICIDE,23-JUN-13,CAPTURED,22 S. GREENE ST.,BALTIMORE,MD
137F11150,HOMICIDE,23-JUN-13,CAPTURED,3400 W. BELVEDERE AVE,BALTIMORE,MD
137H11150,HOMICIDE,23-JUN-13,CAPTURED,504 WILLOW AVE,BALTIMORE,MD
138F11070,ARMED ROBBERY,23-JUN-13,CAPTURED,"1811 POPLAR GROVE, 1ST FLOOR",BALTIMORE,MD
138F11070,ARMED ROBBERY,23-JUN-13,CAPTURED, 2900 WESTWOOD AVE,BALTIMORE,MD
139F11456,MISSING PERSON,23-JUN-13,CAPTURED,AT 1800 RUSSELL ST,BALTIMORE,MD
136F10852,SHOOTING,23-JUN-13,CAPTURED,"905 W. KING ST, YORK PA",BALTIMORE,MD
135F10747,HOMICIDE,22-JUN-13,CAPTURED,1115 GREENMOUNT AVE,BALTIMORE,MD
137F10203,SHOOTING,21-JUN-13,CAPTURED, 1500 BENTALOU,BALTIMORE,MD
132F09838,ARMED ROBBERY,21-JUN-13,CAPTURED,1529 HOMESTEAD,BALTIMORE,MD
131F09819,ARMED ROBBERY,20-JUN-13,CAPTURED,1632 NORMAL AVE,BALTIMORE,MD
139F09289,ARMED ROBBERY,19-JUN-13,CAPTURED,2115 WILHELM,BALTIMORE,MD
132F08701,HOME INVASION,18-JUN-13,CAPTURED, 215 N. DALLAS CT.,BALTIMORE,MD
134F08227,AGGRAVATED ASSAULT,17-JUN-13,CAPTURED, 5900  BELAIR ROAD,BALTIMORE,MD
131F07953,UNARMED ROBBERY,17-JUN-13,CAPTURED,700 W. NORTH AVE,BALTIMORE,MD
136F07362,BURGLARY,16-JUN-13,CAPTURED, 5200  MERCERON AVE,BALTIMORE,MD
137F07358,ARMED ROBBERY,16-JUN-13,CAPTURED, 512 N. BRICE STREET,BALTIMORE,MD
132F07290,AGGRAVATED ASSAULT,15-JUN-13,CAPTURED, 2700 ERDMAN AVENUE,BALTIMORE,MD
138F07285,HOMICIDE,15-JUN-13,CAPTURED,925 DANTRY CT.,BALTIMORE,MD
135F06973,ARMED ROBBERY,15-JUN-13,CAPTURED, 911 CEDARCROFT ROAD,BALTIMORE,MD
131F06984,AGGRAVATED ASSAULT,15-JUN-13,CAPTURED,1200 N. CHARLES ST.,BALTIMORE,MD
135F06857,UNARMED ROBBERY,14-JUN-13,CAPTURED, 5870 BELAIR ROAD,BALTIMORE,MD
131F06689,MISSING PERSON,14-JUN-13,CAPTURED, 4500 N. CHARLES STREET,BALTIMORE,MD
132F06189,UNARMED ROBBERY,13-JUN-13,CAPTURED, 421 BON AIR ROAD,BALTIMORE,MD
132F05966,MISSING PERSON,13-JUN-13,CAPTURED,2500 BELAIR RD.,BALTIMORE,MD
138F05315,ABDUCTION,11-JUN-13,CAPTURED,1916 MALTRAVERS RD,BALTIMORE,MD
