CASE NUMBER,CRIME TYPE,INCIDENT DATE,STATUS,STREET,CITY,STATE,Full Address,Latitude,Longitude
134I11649,UNARMED ROBBERY,24-Sep-13,CAPTURED,4929 LASALLE,BALTIMORE,MD,4929 LASALLE BALTIMORE MD ,,
134I11449,HOMICIDE,24-Sep-13,CAPTURED,2736 HUGO,BALTIMORE,MD,2736 HUGO BALTIMORE MD ,,
138I11198,ARMED ROBBERY,23-Sep-13,CAPTURED,3316 GWYNNS FALLS PRKWY,BALTIMORE,MD,3316 GWYNNS FALLS PRKWY BALTIMORE MD ,,
131I11346,ARMED ROBBERY,23-Sep-13,CAPTURED,3101 W. NORTH AVE,BALTIMORE,MD,3101 W. NORTH AVE BALTIMORE MD ,,
137I10437,HOME INVASION,22-Sep-13,CAPTURED,2400 REISTERSTOWN ROAD,BALTIMORE,MD,2400 REISTERSTOWN ROAD BALTIMORE MD ,,
138I10561,MISSING PERSON,21-Sep-13,CAPTURED,4216 SHELDON AVE,BALTIMORE,MD,4216 SHELDON AVE BALTIMORE MD ,,
136I09811,ARMED ROBBERY,20-Sep-13,CAPTURED,4201 PARK HEIGHTS AVE APT. D,BALTIMORE,MD,4201 PARK HEIGHTS AVE APT. D BALTIMORE MD ,,
137I09158,ARMED ROBBERY,19-Sep-13,CAPTURED,2043 ANNAPOLIS ROAD,BALTIMORE,MD,2043 ANNAPOLIS ROAD BALTIMORE MD ,,
137I00880,OTHER,19-Sep-13,CAPTURED,336 S. SPRING CT.,BALTIMORE,MD,336 S. SPRING CT. BALTIMORE MD ,,
137I08848,ARMED ROBBERY,18-Sep-13,CAPTURED,1915 W NORTH AVE 2ND FLOOR,BALTIMORE,MD,1915 W NORTH AVE 2ND FLOOR BALTIMORE MD ,,
139I08555,MISSING PERSON,18-Sep-13,CAPTURED,5601 BRANCH AVE,BALTIMORE,MD,5601 BRANCH AVE BALTIMORE MD ,,
133I08187,UNARMED ROBBERY,17-Sep-13,CAPTURED,2401 CHARLES,BALTIMORE,MD,2401 CHARLES BALTIMORE MD ,,
134D07784,BURGLARY,17-Sep-13,CAPTURED,700 FALLSWAY,BALTIMORE,MD,700 FALLSWAY BALTIMORE MD ,,
134I07661,UNARMED ROBBERY,16-Sep-13,CAPTURED,444 OLD HOME RD,BALTIMORE,MD,444 OLD HOME RD BALTIMORE MD ,,
131I07465,DOMESTIC VIOLENCE,16-Sep-13,CAPTURED,2810 ROUND RD,BALTIMORE,MD,2810 ROUND RD BALTIMORE MD ,,
135I07003,UNARMED ROBBERY,15-Sep-13,CAPTURED,3715 WILKINS AVE,BALTIMORE,MD,3715 WILKINS AVE BALTIMORE MD ,,
142H06216,ARMED ROBBERY,14-Sep-13,CAPTURED,367 MARYDELL AVE,BALTIMORE,MD,367 MARYDELL AVE BALTIMORE MD ,,
135I06692,AGGRAVATED ASSAULT,14-Sep-13,CAPTURED,249 56TH PLACE NE,WASHINGTON,DC,249 56TH PLACE NE WASHINGTON DC ,,
135I06409,ABDUCTION,13-Sep-13,CAPTURED,6410 SECURITY BLVD,BALTIMORE,MD,6410 SECURITY BLVD BALTIMORE MD ,,
139I05937,OTHER,12-Sep-13,CAPTURED,1900 W. LANVALE,BALTIMORE,MD,1900 W. LANVALE BALTIMORE MD ,,
139I05937,AGGRAVATED ASSAULT,12-Sep-13,CAPTURED,1213 N. SPRING STREET,BALTIMORE,MD,1213 N. SPRING STREET BALTIMORE MD ,,
139I05937,AGGRAVATED ASSAULT,12-Sep-13,CAPTURED,2906 COPORE WAY,BALTIMORE,MD,2906 COPORE WAY BALTIMORE MD ,,
139I05937,AGGRAVATED ASSAULT,12-Sep-13,CAPTURED,5400 JONQUIL,BALTIMORE,MD,5400 JONQUIL BALTIMORE MD ,,
138I04836,HOMICIDE,10-Sep-13,CAPTURED,140 PALMORO,BALTIMORE,MD,140 PALMORO BALTIMORE MD ,,
138I04806,SHOOTING,10-Sep-13,CAPTURED,610 N. MONTFORD AVE,BALTIMORE,MD,610 N. MONTFORD AVE BALTIMORE MD ,,
137I04714,AGGRAVATED ASSAULT,10-Sep-13,CAPTURED,506 W LAFAYETTE,BALTIMORE,MD,506 W LAFAYETTE BALTIMORE MD ,,
136I04063,OTHER,9-Sep-13,CAPTURED,7000 LIBERTY RD,BALTIMORE,MD,7000 LIBERTY RD BALTIMORE MD ,,
136I03701,HOMICIDE,8-Sep-13,CAPTURED,1128 WEBB CT.,BALTIMORE,MD,1128 WEBB CT. BALTIMORE MD ,,
134I03534,SHOOTING,8-Sep-13,CAPTURED,1500 KINGSWAY,BALTIMORE,MD,1500 KINGSWAY BALTIMORE MD ,,
133I03485,HOMICIDE,8-Sep-13,CAPTURED,1005 ABBOTT CT,BALTIMORE,MD,1005 ABBOTT CT BALTIMORE MD ,,
131I02628,UNARMED ROBBERY,6-Sep-13,CAPTURED,706 LINNARD,BALTIMORE,MD,706 LINNARD BALTIMORE MD ,,
135I01000,HOMICIDE,3-Sep-13,CAPTURED,1100 E. NORTHERN PKWY,BALTIMORE,MD,1100 E. NORTHERN PKWY BALTIMORE MD ,,
134I00914,UNARMED ROBBERY,2-Sep-13,CAPTURED,903 N. LAKEWOOD,BALTIMORE,MD,903 N. LAKEWOOD BALTIMORE MD ,,
138I00021,ARMED ROBBERY,1-Sep-13,CAPTURED,2200 WESTBURY,BALTIMORE,MD,2200 WESTBURY BALTIMORE MD ,,
134H15439,ARMED ROBBERY,31-Aug-13,CAPTURED,5831 BELAIR RD,BALTIMORE,MD,5831 BELAIR RD BALTIMORE MD ,,
133H12021,AGGRAVATED ASSAULT,31-Aug-13,CAPTURED,1213 N. EDEN,BALTIMORE,MD,1213 N. EDEN BALTIMORE MD ,,
133H15021,SHOOTING,31-Aug-13,CAPTURED,6101 MORAVIA PARK DR,BALTIMORE,MD,6101 MORAVIA PARK DR BALTIMORE MD ,,
137H14403,HOMICIDE,29-Aug-13,CAPTURED,1931 W. PRATT ST,BALTIMORE,MD,1931 W. PRATT ST BALTIMORE MD ,,
135H14406,MISSING PERSON,29-Aug-13,CAPTURED,2119 BOLTON ST,BALTIMORE,MD,2119 BOLTON ST BALTIMORE MD ,,
134H13673,AGGRAVATED ASSAULT,28-Aug-13,CAPTURED,4203 GLENARM,BALTIMORE,MD,4203 GLENARM BALTIMORE MD ,,
132H13592,AGGRAVATED ASSAULT,28-Aug-13,CAPTURED,635 N. BENTALOU ST.,BALTIMORE,MD,635 N. BENTALOU ST. BALTIMORE MD ,,
136H13426,ARMED ROBBERY,27-Aug-13,CAPTURED,3403 GWYNNS FALLS RD.,BALTIMORE,MD,3403 GWYNNS FALLS RD. BALTIMORE MD ,,
135H12937,SHOOTING,27-Aug-13,CAPTURED,3713 GREENMOUNT AVENUE,BALTIMORE,MD,3713 GREENMOUNT AVENUE BALTIMORE MD ,,
132H12424,UNARMED ROBBERY,25-Aug-13,CAPTURED,1100 E. FAYETTE ST,BALTIMORE,MD,1100 E. FAYETTE ST BALTIMORE MD ,,
135H11578,ARMED ROBBERY,23-Aug-13,CAPTURED,2732 MURA ST,BALTIMORE,MD,2732 MURA ST BALTIMORE MD ,,
136H11472,UNARMED ROBBERY,23-Aug-13,CAPTURED,4201 PRIMROSE ROOM 227,BALTIMORE,MD,4201 PRIMROSE ROOM 227 BALTIMORE MD ,,
137H11361,UNARMED ROBBERY,23-Aug-13,CAPTURED,1031 SEARAY COURT,EDGEWOOD,MD,1031 SEARAY COURT EDGEWOOD MD ,,
137H11113,UNARMED ROBBERY,22-Aug-13,CAPTURED,2300 LAURETTA AVE,BALTIMORE,MD,2300 LAURETTA AVE BALTIMORE MD ,,
137H10616,UNARMED ROBBERY,22-Aug-13,CAPTURED,1647 MCKEAN ST,BALTIMORE,MD,1647 MCKEAN ST BALTIMORE MD ,,
134H10389,SHOOTING,21-Aug-13,CAPTURED,2703 MATTHEWS ST,BALTIMORE,MD,2703 MATTHEWS ST BALTIMORE MD ,,
131H10208,ARMED ROBBERY,21-Aug-13,CAPTURED,4 S GILMORE STREET,BALTIMORE,MD,4 S GILMORE STREET BALTIMORE MD ,,
133H09704,AGGRAVATED ASSAULT,20-Aug-13,CAPTURED,4340 CLAIRE WAY APT 206,BALTIMORE,MD,4340 CLAIRE WAY APT 206 BALTIMORE MD ,,
136G09407,CHILD ABUSE,19-Aug-13,CAPTURED,2212 EASGLE STREET,BALTIMORE,MD,2212 EASGLE STREET BALTIMORE MD ,,
136H09124,ARMED ROBBERY,19-Aug-13,CAPTURED,1001 EASTERN AVENUE,BALTIMORE,MD,1001 EASTERN AVENUE BALTIMORE MD ,,
131H08905,AGGRAVATED ASSAULT,18-Aug-13,CAPTURED,2601 MADISON APT 1103,BALTIMORE,MD,2601 MADISON APT 1103 BALTIMORE MD ,,
132H08441,UNARMED ROBBERY,16-Aug-13,CAPTURED,2500 E. MADISON AVE.,BALTIMORE,MD,2500 E. MADISON AVE. BALTIMORE MD ,,
137H07710,CARJACKING,16-Aug-13,CAPTURED,1708 N. MONROE ST,BALTIMORE,MD,1708 N. MONROE ST BALTIMORE MD ,,
139H07113,SEX OFFENSE,15-Aug-13,CAPTURED,200 N. FRANKLIN,BALTIMORE,MD,200 N. FRANKLIN BALTIMORE MD ,,
134H06548,ARMED ROBBERY,14-Aug-13,CAPTURED,7839 EASTPOINT MALL,BALTIMORE,MD,7839 EASTPOINT MALL BALTIMORE MD ,,
135H06515,SHOOTING,14-Aug-13,CAPTURED,1424 UNION AVE APT C,BALTIMORE,MD,1424 UNION AVE APT C BALTIMORE MD ,,
136H06459,UNARMED ROBBERY,13-Aug-13,CAPTURED,4700 GREENSPRING AVE APT T3,BALTIMORE,MD,4700 GREENSPRING AVE APT T3 BALTIMORE MD ,,
132H06454,ARMED ROBBERY,13-Aug-13,CAPTURED,6901 SECURITY BLVD,BALTIMORE,MD,6901 SECURITY BLVD BALTIMORE MD ,,
138H06407,ARMED ROBBERY,13-Aug-13,CAPTURED,6901 SECURITY BLVD,BALTIMORE,MD,6901 SECURITY BLVD BALTIMORE MD ,,
123C15019,HOMICIDE,12-Aug-13,CAPTURED,2525 ST. PAUL,BALTIMORE,MD,2525 ST. PAUL BALTIMORE MD ,,
135H05379,DOMESTIC VIOLENCE,11-Aug-13,CAPTURED,806 MEWS LANE,FREDERICK,MD,806 MEWS LANE FREDERICK MD ,,
139H04769,AGGRAVATED ASSAULT,10-Aug-13,CAPTURED,7908 ROSSVILLE BLVD,BALTIMORE,MD,7908 ROSSVILLE BLVD BALTIMORE MD ,,
135H03611,ARMED ROBBERY,8-Aug-13,CAPTURED,3828 BONVIEW AVENUE,BALTIMORE,MD,3828 BONVIEW AVENUE BALTIMORE MD ,,
134H03439,UNARMED ROBBERY,7-Aug-13,CAPTURED,1801 E. 30TH,BALTIMORE,MD,1801 E. 30TH BALTIMORE MD ,,
131H01922,OTHER,7-Aug-13,CAPTURED,5809 WINNER AVE,BALTIMORE,MD,5809 WINNER AVE BALTIMORE MD ,,
135H00606,ARMED ROBBERY,2-Aug-13,CAPTURED,313 E 23RD STREET,BALTIMORE,MD,313 E 23RD STREET BALTIMORE MD ,,
134H00527,ARMED ROBBERY,1-Aug-13,CAPTURED,3700 E. LOMBARD ST.,BALTIMORE,MD,3700 E. LOMBARD ST. BALTIMORE MD ,,
149H03400,RAPE,1-Aug-13,CAPTURED,426 CHARTLEY PARK DRIVE,BALTIMORE,MD,426 CHARTLEY PARK DRIVE BALTIMORE MD ,,
139H00160,ARMED ROBBERY,1-Aug-13,CAPTURED,6002 AMBERWOOD,BALTIMORE,MD,6002 AMBERWOOD BALTIMORE MD ,,
138H00051,ARMED ROBBERY,1-Aug-13,CAPTURED,2711 CYLBURN AVE,BALTIMORE,MD,2711 CYLBURN AVE BALTIMORE MD ,,
134G12773,UNARMED ROBBERY,31-Jul-13,CAPTURED,3433 REISTERSTOWN ROAD,BALTIMORE,MD,3433 REISTERSTOWN ROAD BALTIMORE MD ,,
133G12228,UNARMED ROBBERY,31-Jul-13,CAPTURED,3701 GREENMOUNT AVE,BALTIMORE,MD,3701 GREENMOUNT AVE BALTIMORE MD ,,
135G11391,SHOOTING,26-Jul-13,CAPTURED,2562 ARUNAH,BALTIMORE,MD,2562 ARUNAH BALTIMORE MD ,,
136F12831,OTHER,26-Jul-13,CAPTURED,4383 CRAIN HWY,BALTIMORE,MD,4383 CRAIN HWY BALTIMORE MD ,,
132G12318,ARMED ROBBERY,26-Jul-13,CAPTURED,3210 HOLLINS FERRY RD,BALTIMORE,MD,3210 HOLLINS FERRY RD BALTIMORE MD ,,
132G11821,ARMED ROBBERY,25-Jul-13,CAPTURED,2518 AISQUITH STREET,BALTIMORE,MD,2518 AISQUITH STREET BALTIMORE MD ,,
134R11887,UNARMED ROBBERY,24-Jul-13,CAPTURED,5800 THE ALAMEDA,BALTIMORE,MD,5800 THE ALAMEDA BALTIMORE MD ,,
134G12242,UNARMED ROBBERY,24-Jul-13,CAPTURED,3218 ELMLEY AVE,BALTIMORE,MD,3218 ELMLEY AVE BALTIMORE MD ,,
139G11765,OTHER,24-Jul-13,CAPTURED,2948 SIWANOY RD.,EDGEWOOD,MD,2948 SIWANOY RD. EDGEWOOD MD ,,
134G11123,AGGRAVATED ASSAULT,23-Jul-13,CAPTURED,2000 ECHODALE AVE,BALTIMORE,MD,2000 ECHODALE AVE BALTIMORE MD ,,
131G11093,UNARMED ROBBERY,23-Jul-13,CAPTURED,612 N. CLINTON STREET,BALTIMORE,MD,612 N. CLINTON STREET BALTIMORE MD ,,
136G10599,ARMED ROBBERY,22-Jul-13,CAPTURED,3914 PINKNEY,BALTIMORE,MD,3914 PINKNEY BALTIMORE MD ,,
131G10508,ARMED ROBBERY,22-Jul-13,CAPTURED,400 W. SARATOGA,BALTIMORE,MD,400 W. SARATOGA BALTIMORE MD ,,
137G10379,SHOOTING,22-Jul-13,CAPTURED,2111 W. BALTIMORE,BALTIMORE,MD,2111 W. BALTIMORE BALTIMORE MD ,,
134G12282,DOMESTIC VIOLENCE,22-Jul-13,CAPTURED,4322 BELAIR ROAD,BALTIMORE,MD,4322 BELAIR ROAD BALTIMORE MD ,,
133G11072,RAPE,21-Jul-13,CAPTURED,5721 ONNEN RD,BALTIMORE,MD,5721 ONNEN RD BALTIMORE MD ,,
132G09711,UNARMED ROBBERY,21-Jul-13,CAPTURED,1000 S. ROBINSON ST,BALTIMORE,MD,1000 S. ROBINSON ST BALTIMORE MD ,,
132G09733,UNARMED ROBBERY,21-Jul-13,CAPTURED,1000 S. ROBINSON ST,BALTIMORE,MD,1000 S. ROBINSON ST BALTIMORE MD ,,
131G08951,ARMED ROBBERY,19-Jul-13,CAPTURED,2400 WOODBROOK AVE,BALTIMORE,MD,2400 WOODBROOK AVE BALTIMORE MD ,,
137G08675,CARJACKING,18-Jul-13,CAPTURED,1300 W. MOSHER ST,BALTIMORE,MD,1300 W. MOSHER ST BALTIMORE MD ,,
134G08335,SEX OFFENSE,18-Jul-13,CAPTURED,"1428 DARTMOUTH AVE, 2ND FLOOR",BALTIMORE,MD,"1428 DARTMOUTH AVE, 2ND FLOOR BALTIMORE MD ",,
138G08212,ARMED ROBBERY,18-Jul-13,CAPTURED,100 ST. PAUL,BALTIMORE,MD,100 ST. PAUL BALTIMORE MD ,,
137G07607,HOMICIDE,16-Jul-13,CAPTURED,1111 MCKEAN,BALTIMORE,MD,1111 MCKEAN BALTIMORE MD ,,
137G07380,SHOOTING,16-Jul-13,CAPTURED,3500 WOODBROOK,BALTIMORE,MD,3500 WOODBROOK BALTIMORE MD ,,
137G07337,AGGRAVATED ASSAULT,16-Jul-13,CAPTURED,1207 N. DUKELAND STREET,BALTIMORE,MD,1207 N. DUKELAND STREET BALTIMORE MD ,,
134G07327,UNARMED ROBBERY,16-Jul-13,CAPTURED,2210 WESTFIELD RD,BALTIMORE,MD,2210 WESTFIELD RD BALTIMORE MD ,,
134G07189,UNARMED ROBBERY,15-Jul-13,CAPTURED,90 SOLAR CIRCLE,BALTIMORE,MD,90 SOLAR CIRCLE BALTIMORE MD ,,
132G06365,HOMICIDE,13-Jul-13,CAPTURED,2871 EDGECOMBE CIRCLE NORTH APT. A,BALTIMORE,MD,2871 EDGECOMBE CIRCLE NORTH APT. A BALTIMORE MD ,,
132G06365,HOMICIDE,13-Jul-13,CAPTURED,7922 LANSDALE RD,BALTIMORE,MD,7922 LANSDALE RD BALTIMORE MD ,,
132G06365,HOMICIDE,13-Jul-13,CAPTURED,3004 BELMONT,BALTIMORE,MD,3004 BELMONT BALTIMORE MD ,,
139G06371,UNARMED ROBBERY,13-Jul-13,CAPTURED,200 E. PRATT ST.,BALTIMORE,MD,200 E. PRATT ST. BALTIMORE MD ,,
138G05486,ARSON,12-Jul-13,CAPTURED,1706 MONTEREY,BALTIMORE,MD,1706 MONTEREY BALTIMORE MD ,,
135G04849,UNARMED ROBBERY,10-Jul-13,CAPTURED,801 BRADHURST,BALTIMORE,MD,801 BRADHURST BALTIMORE MD ,,
137F07126,OTHER,10-Jul-13,CAPTURED,11239 PEAR TREE WAY,BALTIMORE,MD,11239 PEAR TREE WAY BALTIMORE MD ,,
137G04538,HOMICIDE,10-Jul-13,CAPTURED,1800 W. FAIRMOUNT,BALTIMORE,MD,1800 W. FAIRMOUNT BALTIMORE MD ,,
133G03429,OTHER,7-Jul-13,CAPTURED,1225 E. FEDERAL ST,BALTIMORE,MD,1225 E. FEDERAL ST BALTIMORE MD ,,
138G03109,ARMED ROBBERY,7-Jul-13,CAPTURED,4600 EDMONDSON AVE,BALTIMORE,MD,4600 EDMONDSON AVE BALTIMORE MD ,,
137G02904,SHOOTING,6-Jul-13,CAPTURED,1910 HERBERT ST,BALTIMORE,MD,1910 HERBERT ST BALTIMORE MD ,,
136G01999,SHOOTING,4-Jul-13,CAPTURED,3112 GARRISON,BALTIMORE,MD,3112 GARRISON BALTIMORE MD ,,
135G01910,AGGRAVATED ASSAULT,4-Jul-13,CAPTURED,1025 CARROLLTON,BALTIMORE,MD,1025 CARROLLTON BALTIMORE MD ,,
132G01811,UNARMED ROBBERY,4-Jul-13,CAPTURED,209 N. LAKEWOOD AVE,BALTIMORE,MD,209 N. LAKEWOOD AVE BALTIMORE MD ,,
137G01775,UNARMED ROBBERY,4-Jul-13,CAPTURED,1269 HARBOR ISLAND TERR.,BALTIMORE,MD,1269 HARBOR ISLAND TERR. BALTIMORE MD ,,
131G01375,ARMED ROBBERY,3-Jul-13,CAPTURED,2803 HARLEM AVE,BALTIMORE,MD,2803 HARLEM AVE BALTIMORE MD ,,
138G00691,ARMED ROBBERY,2-Jul-13,CAPTURED,3915 BARRINGTON RD APT 3,BALTIMORE,MD,3915 BARRINGTON RD APT 3 BALTIMORE MD ,,
138G00691,ARMED ROBBERY,2-Jul-13,CAPTURED,3915 BARRINGTON RD,BALTIMORE,MD,3915 BARRINGTON RD BALTIMORE MD ,,
136G00084,BURGLARY,30-Jun-13,CAPTURED,1533 DRUID HILL AVE APT A,BALTIMORE,MD,1533 DRUID HILL AVE APT A BALTIMORE MD ,,
131F14254,UNARMED ROBBERY,29-Jun-13,CAPTURED,1923 N. FOREST PARK AVE,BALTIMORE,MD,1923 N. FOREST PARK AVE BALTIMORE MD ,,
138H08000,OTHER,29-Jun-13,CAPTURED,1600 EUTAW ST.,BALTIMORE,MD,1600 EUTAW ST. BALTIMORE MD ,,
137F13403,HOMICIDE,28-Jun-13,CAPTURED,1313 HARLEM AVE,BALTIMORE,MD,1313 HARLEM AVE BALTIMORE MD ,,
134F13256,HOMICIDE,27-Jun-13,CAPTURED,3005 FAIRHILL COURT,SUITLAND,MD,3005 FAIRHILL COURT SUITLAND MD ,,
133F13017,UNARMED ROBBERY,27-Jun-13,CAPTURED,1663 CLIFTVIEW AVE,BALTIMORE,MD,1663 CLIFTVIEW AVE BALTIMORE MD ,,
134F12128,ARSON,25-Jun-13,CAPTURED,200 W. SARATOGA ST.,BALTIMORE,MD,200 W. SARATOGA ST. BALTIMORE MD ,,
136F12173,HOMICIDE,25-Jun-13,CAPTURED,2402 EDMONDSON AVE,BALTIMORE,MD,2402 EDMONDSON AVE BALTIMORE MD ,,
137F11150,HOMICIDE,23-Jun-13,CAPTURED,22 S. GREENE ST.,BALTIMORE,MD,22 S. GREENE ST. BALTIMORE MD ,,
137F11150,HOMICIDE,23-Jun-13,CAPTURED,3400 W. BELVEDERE AVE,BALTIMORE,MD,3400 W. BELVEDERE AVE BALTIMORE MD ,,
137H11150,HOMICIDE,23-Jun-13,CAPTURED,504 WILLOW AVE,BALTIMORE,MD,504 WILLOW AVE BALTIMORE MD ,,
138F11070,ARMED ROBBERY,23-Jun-13,CAPTURED,"1811 POPLAR GROVE, 1ST FLOOR",BALTIMORE,MD,"1811 POPLAR GROVE, 1ST FLOOR BALTIMORE MD ",,
138F11070,ARMED ROBBERY,23-Jun-13,CAPTURED,2900 WESTWOOD AVE,BALTIMORE,MD,2900 WESTWOOD AVE BALTIMORE MD ,,
139F11456,MISSING PERSON,23-Jun-13,CAPTURED,AT 1800 RUSSELL ST,BALTIMORE,MD,AT 1800 RUSSELL ST BALTIMORE MD ,,
136F10852,SHOOTING,23-Jun-13,CAPTURED,"905 W. KING ST, YORK PA",BALTIMORE,MD,"905 W. KING ST, YORK PA BALTIMORE MD ",,
135F10747,HOMICIDE,22-Jun-13,CAPTURED,1115 GREENMOUNT AVE,BALTIMORE,MD,1115 GREENMOUNT AVE BALTIMORE MD ,,
137F10203,SHOOTING,21-Jun-13,CAPTURED,1500 BENTALOU,BALTIMORE,MD,1500 BENTALOU BALTIMORE MD ,,
132F09838,ARMED ROBBERY,21-Jun-13,CAPTURED,1529 HOMESTEAD,BALTIMORE,MD,1529 HOMESTEAD BALTIMORE MD ,,
131F09819,ARMED ROBBERY,20-Jun-13,CAPTURED,1632 NORMAL AVE,BALTIMORE,MD,1632 NORMAL AVE BALTIMORE MD ,,
139F09289,ARMED ROBBERY,19-Jun-13,CAPTURED,2115 WILHELM,BALTIMORE,MD,2115 WILHELM BALTIMORE MD ,,
132F08701,HOME INVASION,18-Jun-13,CAPTURED,215 N. DALLAS CT.,BALTIMORE,MD,215 N. DALLAS CT. BALTIMORE MD ,,
134F08227,AGGRAVATED ASSAULT,17-Jun-13,CAPTURED,5900 BELAIR ROAD,BALTIMORE,MD,5900 BELAIR ROAD BALTIMORE MD ,,
131F07953,UNARMED ROBBERY,17-Jun-13,CAPTURED,700 W. NORTH AVE,BALTIMORE,MD,700 W. NORTH AVE BALTIMORE MD ,,
136F07362,BURGLARY,16-Jun-13,CAPTURED,5200 MERCERON AVE,BALTIMORE,MD,5200 MERCERON AVE BALTIMORE MD ,,
137F07358,ARMED ROBBERY,16-Jun-13,CAPTURED,512 N. BRICE STREET,BALTIMORE,MD,512 N. BRICE STREET BALTIMORE MD ,,
132F07290,AGGRAVATED ASSAULT,15-Jun-13,CAPTURED,2700 ERDMAN AVENUE,BALTIMORE,MD,2700 ERDMAN AVENUE BALTIMORE MD ,,
138F07285,HOMICIDE,15-Jun-13,CAPTURED,925 DANTRY CT.,BALTIMORE,MD,925 DANTRY CT. BALTIMORE MD ,,
135F06973,ARMED ROBBERY,15-Jun-13,CAPTURED,911 CEDARCROFT ROAD,BALTIMORE,MD,911 CEDARCROFT ROAD BALTIMORE MD ,,
131F06984,AGGRAVATED ASSAULT,15-Jun-13,CAPTURED,1200 N. CHARLES ST.,BALTIMORE,MD,1200 N. CHARLES ST. BALTIMORE MD ,,
135F06857,UNARMED ROBBERY,14-Jun-13,CAPTURED,5870 BELAIR ROAD,BALTIMORE,MD,5870 BELAIR ROAD BALTIMORE MD ,,
131F06689,MISSING PERSON,14-Jun-13,CAPTURED,4500 N. CHARLES STREET,BALTIMORE,MD,4500 N. CHARLES STREET BALTIMORE MD ,,
132F06189,UNARMED ROBBERY,13-Jun-13,CAPTURED,421 BON AIR ROAD,BALTIMORE,MD,421 BON AIR ROAD BALTIMORE MD ,,
132F05966,MISSING PERSON,13-Jun-13,CAPTURED,2500 BELAIR RD.,BALTIMORE,MD,2500 BELAIR RD. BALTIMORE MD ,,
138F05315,ABDUCTION,11-Jun-13,CAPTURED,1916 MALTRAVERS RD,BALTIMORE,MD,1916 MALTRAVERS RD BALTIMORE MD ,,
137F04604,DOMESTIC VIOLENCE,10-Jun-13,CAPTURED,216 N. FULTON AVE,BALTIMORE,MD,216 N. FULTON AVE BALTIMORE MD ,,
137F04584,HOMICIDE,10-Jun-13,CAPTURED,2500 OSWEGO,BALTIMORE,MD,2500 OSWEGO BALTIMORE MD ,,
137F07126,SEX OFFENSE,10-Jun-13,CAPTURED,616 YALE AVE.,BALTIMORE,MD,616 YALE AVE. BALTIMORE MD ,,
134F04245,RAPE,9-Jun-13,CAPTURED,4900 HAZELWOOD AVE,BALTIMORE,MD,4900 HAZELWOOD AVE BALTIMORE MD ,,
132F03962,UNARMED ROBBERY,8-Jun-13,CAPTURED,3027 E. MONUMENT ST,BALTIMORE,MD,3027 E. MONUMENT ST BALTIMORE MD ,,
139F03584,UNARMED ROBBERY,7-Jun-13,CAPTURED,2618 RITTENHOUSE ROAD,BALTIMORE,MD,2618 RITTENHOUSE ROAD BALTIMORE MD ,,
139F03291,UNARMED ROBBERY,7-Jun-13,CAPTURED,1317 W. SARATOGA STREET,BALTIMORE,MD,1317 W. SARATOGA STREET BALTIMORE MD ,,
139F01035,AGGRAVATED ASSAULT,6-Jun-13,CAPTURED,3901 ROKEBY RD,BALTIMORE,MD,3901 ROKEBY RD BALTIMORE MD ,,
137F02459,SHOOTING,5-Jun-13,CAPTURED,2030 PENROSE AVE,BALTIMORE,MD,2030 PENROSE AVE BALTIMORE MD ,,
139F01580,ARMED ROBBERY,4-Jun-13,CAPTURED,4104 BOARMAN,BALTIMORE,MD,4104 BOARMAN BALTIMORE MD ,,
135F00867,ARMED ROBBERY,3-Jun-13,CAPTURED,2411 W. NORTH AVE,BALTIMORE,MD,2411 W. NORTH AVE BALTIMORE MD ,,
134F00821,UNARMED ROBBERY,2-Jun-13,CAPTURED,1600 RAMBLEWOOD,BALTIMORE,MD,1600 RAMBLEWOOD BALTIMORE MD ,,
133E14372,AGGRAVATED ASSAULT,30-May-13,CAPTURED,7985 NOLPARK CT APT 104,BALTIMORE,MD,7985 NOLPARK CT APT 104 BALTIMORE MD ,,
136E14029,BURGLARY,29-May-13,CAPTURED,1818 RIGGS,BALTIMORE,MD,1818 RIGGS BALTIMORE MD ,,
135E13487,HOMICIDE,28-May-13,CAPTURED,702 CATHEDRAL ST 1ST FLOOR,BALTIMORE,MD,702 CATHEDRAL ST 1ST FLOOR BALTIMORE MD ,,
139E13506,UNARMED ROBBERY,28-May-13,CAPTURED,1169 NANTICOKE,BALTIMORE,MD,1169 NANTICOKE BALTIMORE MD ,,
133E12906,UNARMED ROBBERY,27-May-13,CAPTURED,1800 S. CATON AVE,BALTIMORE,MD,1800 S. CATON AVE BALTIMORE MD ,,
137E12973,SHOOTING,27-May-13,CAPTURED,1300 PATTERSON AVE,BALTIMORE,MD,1300 PATTERSON AVE BALTIMORE MD ,,
134E12850,SHOOTING,27-May-13,CAPTURED,2300 E. PRESTON ST.,BALTIMORE,MD,2300 E. PRESTON ST. BALTIMORE MD ,,
131E12856,RAPE,27-May-13,CAPTURED,3404 RETLAW,BALTIMORE,MD,3404 RETLAW BALTIMORE MD ,,
134E12850,SHOOTING,27-May-13,CAPTURED,1515 E. EAGER STREET,BALTIMORE,MD,1515 E. EAGER STREET BALTIMORE MD ,,
133E12413,AGGRAVATED ASSAULT,26-May-13,CAPTURED,2605 JEFFERSON STREET,BALTIMORE,MD,2605 JEFFERSON STREET BALTIMORE MD ,,
